Type,Extension,Message
Test,.test,20;30
AI,.ai,50
AU,.au,50
AVI,.avi,50
BMP,.bmp,50
C,.c,50
C++,.cc;.cpp,50
CAP,.cap,50
CSS,.css,50
CSV,.csv,50
DB,.db,50
DOC,.doc;.docx;.dotx,20;60
DT,.dt0;.dt1;.dt2,50
DWG,.dwg,50
EPS,.eps,50
FTB,.ftb,50
GeoDB,.geodb,50
GIF,.gif,50
GIS,.dig,50
GML,.gml,50
GZ,.gz;.gzip,50
HPP,.hpp,50
HTML,.h,50
HTML,.html;.htm,50
ICS,.ics,50
IPNYB,.ipynb,50
JAR,.jar,50
JAVA,.java,50
JPEG,.j2c;.jpg;.jpeg,50
JPYNB,.jpynb,50
JSON,.json,50
JSONL,.jsonl,50
KML,.kml,50
KMZ,.kmz,50
LAS,.las,50
LAZ,.laz,50
MD,.md,50
MOV,.mov,50
MPEG,.mp4;.mpeq;.mpg,50
MPP,.mpp,50
MXD,.mxd,50
NESSUS,.nessus,50
ODF,.odf,50
ODG,.odg;.otg,50
ODM,.odm,50
ODP,.odp;.otp,50
ODS,.ods;.ots,50
ODT,.odt;.ott,50
OTH,.oth,50
Parquet,.parquet,50
PDD,.pdd,50
PDF,.pdf,50
PNG,.png,50
POT,.pot;.potx,50
PPT,.pps;.ppsx;.ppt;.pptx,40
PS,.ps,50
PSD,.psd,50
PY,.py,50
RAR,.rar,50
RAW,.raw,50
RB,.rb,50
RS,.rs,50
RTF,.rtf,50
SAV,.sav,50
SBN,.sbn,50
SBX,.sbx,50
SHP,.shp,50
SHTML,.shtml; shtm,50
SPO,.spo,50
SQL,.sql,50
TAR,.tar,50
TGZ,.tgz,50
TIFF,.tiff;.tif,50
TXT,.txt,30
VSD,.vsd,50
VSS,.vss;.vssx,50
WAV,.wav,50
WMA,.wma,50
WMF,.wmf,50
WMV,.wmv,50
WPD,.wpd,50
WRI,.wri,50
XBM,.xbm,50
XLF,.xlf,50
XLS,.xl;.xls;.xlsx;.xlst,20
XLW,.xlw,50
XML,.xml,50
XSD,.xsd,50
YAML,.yaml;.yml,50
